id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Electric Dreams,Synth Masters,electronic,energetic,0.88,128,0.75,0.85,0.12
12,Mountain Breeze,Nature Sounds,ambient,calm,0.25,65,0.68,0.35,0.95
13,Heavy Metal Thunder,Iron Fist,metal,intense,0.95,160,0.45,0.55,0.08
14,Smooth Jazz Nights,Blue Notes,jazz,relaxed,0.45,95,0.72,0.65,0.78
15,Country Road,Rusty Boots,country,nostalgic,0.65,110,0.8,0.7,0.6
16,Hip Hop Flow,Street Beats,hip-hop,confident,0.78,92,0.85,0.9,0.25
17,Classical Serenity,Orchestra Masters,classical,peaceful,0.3,75,0.55,0.4,0.88
18,Reggae Vibes,Island Rhythms,reggae,laid-back,0.7,85,0.9,0.75,0.45
19,Punk Rock Riot,Rebel Yell,punk,rebellious,0.92,180,0.5,0.6,0.15
20,Folk Tales,Storytellers,folk,introspective,0.55,100,0.65,0.5,0.8
